epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28070.7,1.45508,1.5941,1.01185,0.32532,0.3593,0.28684,0.17482,1.58796,1.91543,1.05868,0.000456863,0.000456863,0.000456863
43,28802.2,1.43535,1.56586,1.00877,0.32426,0.35431,0.28422,0.17227,1.5965,1.92919,1.05869,0.00044925,0.00044925,0.00044925
44,29544.2,1.43073,1.55152,1.00626,0.32609,0.35554,0.28408,0.17413,1.59177,1.94815,1.05532,0.000441637,0.000441637,0.000441637
45,30308,1.43513,1.53491,1.00152,0.32612,0.34613,0.2816,0.17099,1.58702,1.92778,1.05497,0.000434024,0.000434024,0.000434024
46,31046.8,1.42774,1.52172,1.00451,0.32259,0.34679,0.28174,0.17262,1.59126,1.93551,1.05887,0.000426411,0.000426411,0.000426411
47,31737,1.43096,1.50423,0.99917,0.32893,0.34647,0.28205,0.17316,1.58394,1.95032,1.05553,0.000418797,0.000418797,0.000418797
48,32483.5,1.41375,1.49549,1.00065,0.3186,0.35938,0.28244,0.17365,1.59222,1.95328,1.05777,0.000411184,0.000411184,0.000411184
49,33251.4,1.40992,1.46505,0.99611,0.33777,0.34637,0.28478,0.17544,1.59525,1.97615,1.05942,0.000403571,0.000403571,0.000403571
50,33999.8,1.41227,1.45529,0.99285,0.33222,0.34247,0.28293,0.17408,1.5981,1.98679,1.06034,0.000395958,0.000395958,0.000395958
51,34747.4,1.40448,1.44556,0.98471,0.31963,0.35229,0.28214,0.17245,1.59611,1.98655,1.05919,0.000388345,0.000388345,0.000388345
52,35491.6,1.38907,1.41794,0.98934,0.33191,0.34383,0.2788,0.17007,1.59577,1.98647,1.06189,0.000380732,0.000380732,0.000380732
53,36239,1.39715,1.41875,0.98563,0.32583,0.34472,0.28088,0.17313,1.58914,1.97496,1.05547,0.000373119,0.000373119,0.000373119
